username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 18:39:53,"Folks: don't push people or do anything else to them. They don't need it; you don't need it.
https://t.co/Urb5gPeWGz",1,Twitter for Android,
JQ LLC,1392942973499936768,Queens,2023-01-22 18:38:18,But with homeless people https://t.co/G1a5DMdVnT https://t.co/DUx3Sj4PAl,0,Twitter for Android,
Madeline M,1161601782,"New York, NY",2023-01-22 18:17:45,"NYC, aka Eric Adams, wants to fine homeless people now? There’s no bottom to the cruelty or stupidity. 

Check out… https://t.co/adSMhtrs0P",0,Twitter for iPhone,
Derrick Richard,1677305695,"New York City, NY",2023-01-22 18:09:13,@PeterBinNYC Tweeting just take a ride doesn't help them in anyway. If you see a homeless person on the train just… https://t.co/uJMvjsIwTl,0,Twitter Web App,
Peter,800722397603074049,"New York, NY",2023-01-22 18:02:32,@NYCTSubway @CurtisSliwa @NYCMayor Visited some friends in Queens ... R/M GRAND AVE Station has at least 10+ homele… https://t.co/adM3WEtbDp,0,Twitter for Android,
Shweebe,701129560721481728,"New York, USA",2023-01-22 17:56:12,"@pulte Enough to save my friend from going homeless. Even if it's just retweeting this so people can donate to it,… https://t.co/MtCOzYUecI",0,Twitter Web App,
MissCrayon 🌊🇺🇸,262948804,NYC,2023-01-22 17:27:58,New York City to Open Migrant Shelter at Brooklyn Cruise Terminal https://t.co/xhE2fb68Ok,0,Twitter Web App,
Steven Sanzone,1539589120611287043,"Brooklyn, NY",2023-01-22 17:24:48,@POTUS Homeless rights that's what we need think about more of how to fix the homeless problem in this States San F… https://t.co/yIscwYV3Le,0,Twitter for Android,
Phe,2372347440,"Brooklyn, NY",2023-01-22 17:19:47,Some woman keeps screaming someone call 911 I’m homeless 🫠,0,Twitter for iPhone,
Markiegee55 or Marc Garcia,1012381987682836480,"New York, USA",2023-01-22 17:16:05,Liked on YouTube: Convicted Murderer Tries to Give His Last Meal to the Homeless | Tales From the Bottle https://t.co/eUFMDtMffz,0,IFTTT,
Elie Diaz,19875923,"New York, NY",2023-01-22 17:14:53,"Great Sunday, on my way to the shelter where I volunteer and see my homeless I help every week!.",0,Twitter for iPhone,
Services for the UnderServed (S:US),156667809,New York City,2023-01-22 17:00:31,"Gov. Hochul signed a bill last month, allowing decisionally-capable runaway and #homeless youth to consent to their… https://t.co/y2hW2JnAkG",0,Twitter Web App,
J. hodl,1610049795699122176,"New York, NY",2023-01-22 16:48:56,"On a cold NYC Sunday morning, there is nothing more depressing than going to work in the dark dirty subway. Homeles… https://t.co/Hqz9Cpu3mC",0,Twitter for iPhone,
Lance Madsen,1432035742201507845,"New York, USA",2023-01-22 16:38:51,"@POTUS I go to work every morning, the only reward I have from your administration is higher taxes inflation and an… https://t.co/y5fnGlJuWg",0,Twitter for iPhone,
someecards,14094741,"New York, NY",2023-01-22 16:31:31,Not a lot of Steve fans here... https://t.co/QuvQRSBIlY,0,someecards app,
Chahk,38078437,"New York, NY",2023-01-22 16:26:17,"@mmpadellan GOP doesn't give a fuck about children, the poor, the homeless, or anyone besides their biggest donors.",0,Twitter for Android,
Igor Sidorkin,2192494548,Brooklyn,2023-01-22 16:10:58,@WallStreetSilv Also. Add several homeless people to the household to strengthen it through diversity. Their income… https://t.co/mGbIbSv3gK,1,Twitter for Android,
City Limits,82296803,New York City,2023-01-22 16:02:17,The same day Mayor Adams unveiled a preliminary budget focused on “fiscal discipline” &amp; 2 days after Gov. Hochul la… https://t.co/5AX4TQ1gWH,0,Hootsuite Inc.,
Him,423128855,"Bronx, NY",2023-01-22 16:01:46,"That 191 tunnel is full of piss, the homeless &amp; needles…. Ya worried about art.",1,Twitter for iPhone,
Megan macleod,4609196954,"Manhattan, NY",2023-01-22 15:55:25,@SoCalValleyGal How do you know? Also they may report a dead body but not report its homeless person. Especially if… https://t.co/rGg5D6aTaY,0,Twitter for iPhone,
Megan macleod,4609196954,"Manhattan, NY",2023-01-22 15:51:42,@SoCalValleyGal It’s terrible 😞 and only going to get worse with the housing market makes it impossible for people… https://t.co/4s5Ynh9DW7,0,Twitter for iPhone,
